name,code,element,position,season,team,gw
Aaron Connolly,233425,78,FWD,2020-21,Brighton,1
Aaron Connolly,233425,72,FWD,2021-22,Brighton,1
Aaron Connolly,233425,127,FWD,2023-24,Brighton,1
Aaron Cresswell,55459,454,DEF,2016-17,West Ham,1
Aaron Cresswell,55459,443,DEF,2017-18,West Ham,1
Aaron Cresswell,55459,435,DEF,2020-21,West Ham,1
Aaron Cresswell,55459,411,DEF,2021-22,West Ham,1
Aaron Cresswell,55459,530,DEF,2023-24,West Ham,1
Aaron Hickey,472713,104,DEF,2023-24,Brentford,1
Aaron Lennon,17349,142,MID,2016-17,Everton,1
Aaron Lennon,17349,153,MID,2017-18,Everton,1
Aaron Lennon,17349,153,MID,2017-18,Burnley,25
Aaron Lennon,17349,575,MID,2021-22,Burnley,3
Aaron Mooy,74471,172,MID,2017-18,Huddersfield,1
Aaron Mooy,74471,60,MID,2020-21,Brighton,1
Aaron Ramsdale,225321,677,GK,2016-17,Bournemouth,38
Aaron Ramsdale,225321,549,GK,2017-18,Bournemouth,6
Aaron Ramsdale,225321,483,GK,2020-21,Sheffield Utd,1
Aaron Ramsdale,225321,559,GK,2021-22,Arsenal,2
Aaron Ramsdale,225321,17,GK,2023-24,Arsenal,1
Aaron Ramsey,41792,16,MID,2016-17,Arsenal,1
Aaron Ramsey,41792,18,MID,2017-18,Arsenal,1
Aaron Ramsey,447715,496,MID,2021-22,Aston Villa,1
Aaron Ramsey,447715,675,MID,2023-24,Burnley,3
Aaron Wan-Bissaka,214590,612,DEF,2016-17,Crystal Palace,16
Aaron Wan-Bissaka,214590,579,DEF,2017-18,Crystal Palace,18
Aaron Wan-Bissaka,214590,313,DEF,2020-21,Man Utd,2
Aaron Wan-Bissaka,214590,288,DEF,2021-22,Man Utd,1
Aaron Wan-Bissaka,214590,401,DEF,2023-24,Man Utd,1
Abdoulaye Doucouré,121599,482,MID,2016-17,Watford,1
Abdoulaye Doucouré,121599,414,MID,2017-18,Watford,1
Abdoulaye Doucouré,121599,512,MID,2020-21,Everton,1
Abdoulaye Doucouré,121599,173,MID,2021-22,Everton,1
Abdoulaye Doucouré,121599,249,MID,2023-24,Everton,1
Abdul Rahman Baba,118335,190,DEF,2023-24,Chelsea,1
Aboubakar Kamara,197030,190,MID,2020-21,Fulham,1
Abu Kamara,490161,715,FWD,2021-22,Norwich,31
Adam Armstrong,155511,525,FWD,2021-22,Southampton,1
Adam Davies,102549,479,GK,2023-24,Sheffield Utd,1
Adam Forshaw,80179,286,MID,2016-17,Middlesbrough,1
Adam Forshaw,80179,199,MID,2020-21,Leeds,1
Adam Forshaw,80179,552,MID,2021-22,Leeds,1
Adam Idah,432735,329,FWD,2021-22,Norwich,1
Adam Lallana,39155,205,MID,2016-17,Liverpool,1
Adam Lallana,39155,228,MID,2017-18,Liverpool,1
Adam Lallana,39155,54,MID,2020-21,Brighton,1
Adam Lallana,39155,53,MID,2021-22,Brighton,1
Adam Lallana,39155,138,MID,2023-24,Brighton,1
Adam Masina,155651,390,DEF,2021-22,Watford,1
Adam Smith,54469,34,DEF,2016-17,Bournemouth,1
Adam Smith,54469,35,DEF,2017-18,Bournemouth,1
Adam Smith,54469,84,DEF,2023-24,Bournemouth,1
Adam Webster,110735,66,DEF,2020-21,Brighton,1
Adam Webster,110735,61,DEF,2021-22,Brighton,1
Adam Webster,110735,153,DEF,2023-24,Brighton,1
Adam Wharton,496221,807,MID,2023-24,Crystal Palace,23
Adama Traoré,159533,563,MID,2016-17,Middlesbrough,4
Adama Traoré,159533,465,MID,2020-21,Wolves,1
Adama Traoré,159533,435,MID,2021-22,Wolves,1
Adama Traoré,159533,662,MID,2023-24,Fulham,2
Adedapo Awokoya-Mebude,243569,469,FWD,2021-22,Watford,1
Ademipo Odubeko,461533,638,FWD,2020-21,West Ham,19
Ademola Lookman,219352,627,MID,2016-17,Everton,21
Ademola Lookman,219352,157,MID,2017-18,Everton,1
Ademola Lookman,219352,557,MID,2020-21,Fulham,4
Ademola Lookman,219352,587,MID,2021-22,Leicester,4
Ademola Ola-Adebomi,531993,720,FWD,2023-24,Crystal Palace,7
Admiral Muskwe,174595,327,FWD,2023-24,Luton,1
Adrian Blake,533719,733,MID,2021-22,Watford,36
Adrien Silva,46483,220,MID,2020-21,Leicester,1
Adrián Bernabé,449926,537,MID,2020-21,Man City,2
Adrián San Miguel del Castillo,60706,450,GK,2016-17,West Ham,1
Adrián San Miguel del Castillo,60706,438,GK,2017-18,West Ham,1
Adrián San Miguel del Castillo,60706,245,GK,2020-21,Liverpool,1
Adrián San Miguel del Castillo,60706,223,GK,2021-22,Liverpool,1
Adrián San Miguel del Castillo,60706,289,GK,2023-24,Liverpool,1
Ahmed El Mohamady,37339,29,DEF,2020-21,Aston Villa,2
Ahmed El-Sayed Hegazy,77777,414,DEF,2020-21,West Brom,1
Aidan Francis-Clarke,552030,648,DEF,2023-24,Luton,1
Ainsley Maitland-Niles,154043,593,DEF,2016-17,Arsenal,9
Ainsley Maitland-Niles,154043,546,DEF,2017-18,Arsenal,5
Ainsley Maitland-Niles,154043,15,DEF,2020-21,Arsenal,1
Ainsley Maitland-Niles,154043,15,DEF,2020-21,West Brom,22
Ainsley Maitland-Niles,154043,13,MID,2021-22,Arsenal,1
Ajibola Alese,220684,644,DEF,2021-22,West Ham,16
Albert Sambi Lokonga,437742,478,MID,2021-22,Arsenal,1
Albert Sambi Lokonga,437742,21,MID,2023-24,Arsenal,1
Albert Sambi Lokonga,437742,21,MID,2023-24,Luton,5
Albian Ajeti,181008,447,FWD,2020-21,West Ham,1
Alejandro Garnacho,493105,723,MID,2021-22,Man Utd,33
Alejandro Garnacho,493105,382,MID,2023-24,Man Utd,1
Alejo Véliz,536908,641,FWD,2023-24,Spurs,1
Aleksandar Mitrović,128389,184,FWD,2020-21,Fulham,1
Aleksandar Mitrović,128389,278,FWD,2023-24,Fulham,1
