name,value,element,season,code,gw
Aaron Cresswell,55,454,2016-17,55459,1
Aaron Lennon,60,142,2016-17,17349,1
Aaron Ramsey,80,16,2016-17,41792,1
Abdoulaye Doucouré,50,482,2016-17,121599,1
Adam Forshaw,45,286,2016-17,80179,1
Adam Lallana,70,205,2016-17,39155,1
Adam Smith,45,34,2016-17,54469,1
Adrián San Miguel del Castillo,50,450,2016-17,60706,1
Alex Iwobi,60,21,2016-17,153133,1
Alex McCarthy,45,101,2016-17,58376,1
Alex Oxlade-Chamberlain,60,18,2016-17,81880,1
Andre Gray,65,68,2016-17,73426,1
Andreas Pereira,45,263,2016-17,156689,1
Andrew Robertson,45,152,2016-17,122798,1
Andros Townsend,65,120,2016-17,60252,1
André Ayew,75,374,2016-17,45124,1
Andy Carroll,65,468,2016-17,40142,1
Angelo Ogbonna,50,456,2016-17,40669,1
Anthony Martial,95,267,2016-17,148225,1
Arthur Masuaku,50,505,2016-17,105717,1
Ashley Barnes,45,70,2016-17,44699,1
Ashley Young,55,260,2016-17,18892,1
Bamidele Alli,85,398,2016-17,108823,1
Ben Davies,50,386,2016-17,115556,1
Ben Foster,45,430,2016-17,9089,1
Ben Gibson,45,278,2016-17,83312,1
Ben Mee,45,56,2016-17,51927,1
Benjamin Chilwell,45,496,2016-17,172850,1
Branislav Ivanovic,60,76,2016-17,41135,1
Callum Wilson,65,49,2016-17,75115,1
Calum Chambers,45,11,2016-17,101184,1
Cameron Carter-Vickers,45,501,2016-17,168763,1
Charlie Austin,65,314,2016-17,78356,1
Cheikhou Kouyaté,55,459,2016-17,55037,1
Chris Smalling,60,244,2016-17,55909,1
Christian Benteke,75,213,2016-17,54861,1
Christian Eriksen,85,394,2016-17,80607,1
Christian Fuchs,55,168,2016-17,37402,1
Christian Kabasele,50,414,2016-17,85624,1
Connor Wickham,60,122,2016-17,59125,1
Craig Cathcart,45,408,2016-17,41338,1
Craig Dawson,50,433,2016-17,60232,1
Cédric Soares,50,301,2016-17,58822,1
César Azpilicueta,60,77,2016-17,41328,1
Dan Gosling,50,43,2016-17,40387,1
Daniel Amartey,45,182,2016-17,155569,1
Danny Ings,60,216,2016-17,84939,1
Danny Rose,60,383,2016-17,38290,1
Danny Welbeck,75,26,2016-17,50175,1
Darren Randolph,45,451,2016-17,32259,1
David de Gea,55,242,2016-17,51940,1
DeAndre Yedlin,45,389,2016-17,151119,1
Demarai Gray,50,181,2016-17,172632,1
Diego Da Silva Costa,95,97,2016-17,18507,1
Divock Origi,70,217,2016-17,152760,1
Eldin Jakupovic,40,147,2016-17,11974,1
Eric Bailly,55,255,2016-17,197365,1
Eric Dier,55,390,2016-17,93264,1
Erik Lamela,70,393,2016-17,62974,1
Erik Pieters,45,321,2016-17,39487,1
Fabian Delph,50,227,2016-17,41823,1
Federico Fernández,45,363,2016-17,57145,1
Fernando Luiz Rosa,55,233,2016-17,27789,1
Fraser Forster,50,294,2016-17,40383,1
Gary Cahill,60,78,2016-17,19419,1
Georginio Wijnaldum,80,485,2016-17,41733,1
Granit Xhaka,55,24,2016-17,84450,1
Gylfi Sigurdsson,75,368,2016-17,55422,1
Harrison Reed,45,307,2016-17,153366,1
Harry Arter,50,37,2016-17,48615,1
Harry Kane,110,403,2016-17,78830,1
Harry Maguire,45,153,2016-17,95658,1
Harry Winks,45,513,2016-17,157668,1
Heung-Min Son,75,402,2016-17,85971,1
Hugo Lloris,55,380,2016-17,37915,1
Héctor Bellerín,65,6,2016-17,98745,1
Idrissa Gueye,50,488,2016-17,80801,1
Ilkay Gündogan,55,236,2016-17,59859,1
Jack Butland,50,316,2016-17,105666,1
Jack Cork,50,367,2016-17,40145,1
Jack Stephens,40,504,2016-17,88900,1
Jack Wilshere,60,17,2016-17,54102,1
Jake Livermore,50,157,2016-17,49944,1
James McArthur,50,114,2016-17,50471,1
James McCarthy,50,136,2016-17,50472,1
James Milner,65,208,2016-17,15157,1
