season,GW,date,time,home_team,away_team
2016-17,1,2016-08-13,12:30,Hull,Leicester
2016-17,1,2016-08-13,15:00,Burnley,Swansea
2016-17,1,2016-08-13,15:00,Crystal Palace,West Brom
2016-17,1,2016-08-13,15:00,Everton,Spurs
2016-17,1,2016-08-13,15:00,Middlesbrough,Stoke
2016-17,1,2016-08-13,15:00,Southampton,Watford
2016-17,1,2016-08-13,17:30,Man City,Sunderland
2016-17,1,2016-08-14,13:30,Bournemouth,Man Utd
2016-17,1,2016-08-14,16:00,Arsenal,Liverpool
2016-17,1,2016-08-15,20:00,Chelsea,West Ham
2016-17,2,2016-08-19,20:00,Man Utd,Southampton
2016-17,2,2016-08-20,12:30,Stoke,Man City
2016-17,2,2016-08-20,15:00,Burnley,Liverpool
2016-17,2,2016-08-20,15:00,Swansea,Hull
2016-17,2,2016-08-20,15:00,Spurs,Crystal Palace
2016-17,2,2016-08-20,15:00,Watford,Chelsea
2016-17,2,2016-08-20,15:00,West Brom,Everton
2016-17,2,2016-08-20,17:30,Leicester,Arsenal
2016-17,2,2016-08-21,13:30,Sunderland,Middlesbrough
2016-17,2,2016-08-21,16:00,West Ham,Bournemouth
2016-17,3,2016-08-27,12:30,Spurs,Liverpool
2016-17,3,2016-08-27,15:00,Chelsea,Burnley
2016-17,3,2016-08-27,15:00,Crystal Palace,Bournemouth
2016-17,3,2016-08-27,15:00,Everton,Stoke
2016-17,3,2016-08-27,15:00,Leicester,Swansea
2016-17,3,2016-08-27,15:00,Southampton,Sunderland
2016-17,3,2016-08-27,15:00,Watford,Arsenal
2016-17,3,2016-08-27,17:30,Hull,Man Utd
2016-17,3,2016-08-28,13:30,West Brom,Middlesbrough
2016-17,3,2016-08-28,16:00,Man City,West Ham
2016-17,4,2016-09-10,12:30,Man Utd,Man City
2016-17,4,2016-09-10,15:00,Arsenal,Southampton
2016-17,4,2016-09-10,15:00,Bournemouth,West Brom
2016-17,4,2016-09-10,15:00,Burnley,Hull
2016-17,4,2016-09-10,15:00,Middlesbrough,Crystal Palace
2016-17,4,2016-09-10,15:00,Stoke,Spurs
2016-17,4,2016-09-10,15:00,West Ham,Watford
2016-17,4,2016-09-10,17:30,Liverpool,Leicester
2016-17,4,2016-09-11,16:00,Swansea,Chelsea
2016-17,4,2016-09-12,20:00,Sunderland,Everton
2016-17,5,2016-09-16,20:00,Chelsea,Liverpool
2016-17,5,2016-09-17,15:00,Hull,Arsenal
2016-17,5,2016-09-17,15:00,Leicester,Burnley
2016-17,5,2016-09-17,15:00,Man City,Bournemouth
2016-17,5,2016-09-17,15:00,West Brom,West Ham
2016-17,5,2016-09-17,17:30,Everton,Middlesbrough
2016-17,5,2016-09-18,12:00,Watford,Man Utd
2016-17,5,2016-09-18,14:15,Crystal Palace,Stoke
2016-17,5,2016-09-18,14:15,Southampton,Swansea
2016-17,5,2016-09-18,16:30,Spurs,Sunderland
2016-17,6,2016-09-24,12:30,Man Utd,Leicester
2016-17,6,2016-09-24,15:00,Bournemouth,Everton
2016-17,6,2016-09-24,15:00,Liverpool,Hull
2016-17,6,2016-09-24,15:00,Middlesbrough,Spurs
